18432422542.4934+9258788777.85939i,0-0i,0-0i,968793.018205019+1301919.63041899i,0-0i,0-0i
0-0i,18432421681.4576+9258787547.99479i,0-0i,0-0i,-482727.252692963-648403.172995119i,0-0i
0-0i,0-0i,18432421681.4576+9258787547.99479i,0-0i,0-0i,-482727.252692963-648403.172995119i
968793.018205022+1301919.63041899i,0-0i,0-0i,18432422542.4934+9258788777.85939i,0-0i,0-0i
0-0i,-482727.252692967-648403.172995121i,0-0i,0-0i,18432421681.4576+9258787547.99479i,0-0i
0-0i,0-0i,-482727.252692967-648403.172995121i,0-0i,0-0i,18432421681.4576+9258787547.99479i
