-3541952965.45249+6166179764.84443i,0+0i,0+0i,-90064.0784138175-154444.423240096i,0+0i,0+0i
0+0i,-3541952890.35863+6166179899.49685i,0+0i,0+0i,44891.0876475229+76943.971202588i,0+0i
0+0i,0+0i,-3541952890.35863+6166179899.49685i,0+0i,0+0i,44891.0876475229+76943.971202588i
-90064.078413818-154444.423240095i,0+0i,0+0i,-3541952965.45249+6166179764.84443i,0+0i,0+0i
0+0i,44891.0876475231+76943.9712025877i,0+0i,0+0i,-3541952890.35863+6166179899.49685i,0+0i
0+0i,0+0i,44891.0876475231+76943.9712025877i,0+0i,0+0i,-3541952890.35863+6166179899.49685i
