-9939516209.85512+5467258194.25234i,0+0i,0+0i,236964.11486153-373719.182277696i,0+0i,0+0i
0+0i,-9939516415.62668+5467258506.96149i,0+0i,0+0i,-118043.725258789+186249.89312562i,0+0i
0+0i,0+0i,-9939516415.62668+5467258506.96149i,0+0i,0+0i,-118043.725258789+186249.89312562i
236964.114861529-373719.182277696i,0+0i,0+0i,-9939516209.85512+5467258194.25234i,0+0i,0+0i
0+0i,-118043.725258789+186249.89312562i,0+0i,0+0i,-9939516415.62668+5467258506.96149i,0+0i
0+0i,0+0i,-118043.725258789+186249.89312562i,0+0i,0+0i,-9939516415.62668+5467258506.96149i
