-5520852553.99068+5940674129.20909i,0+0i,0+0i,-16856.5045475124-230004.969401525i,0+0i,0+0i
0+0i,-5520852543.18582+5940674326.59548i,0+0i,0+0i,8422.5212987942+114603.502522904i,0+0i
0+0i,0+0i,-5520852543.18582+5940674326.59548i,0+0i,0+0i,8422.5212987942+114603.502522904i
-16856.5045475142-230004.969401523i,0+0i,0+0i,-5520852553.99068+5940674129.20909i,0+0i,0+0i
0+0i,8422.52129879402+114603.502522904i,0+0i,0+0i,-5520852543.18582+5940674326.59548i,0+0i
0+0i,0+0i,8422.52129879402+114603.502522904i,0+0i,0+0i,-5520852543.18582+5940674326.59548i
