-8077866293.17452+5661695920.44585i,0+0i,0+0i,115137.530260122-317175.087434748i,0+0i,0+0i
0+0i,-8077866395.83139+5661696188.47826i,0+0i,0+0i,-57340.3696161613+158057.250682966i,0+0i
0+0i,0+0i,-8077866395.83139+5661696188.47826i,0+0i,0+0i,-57340.3696161613+158057.250682966i
115137.530260124-317175.087434748i,0+0i,0+0i,-8077866293.17452+5661695920.44585i,0+0i,0+0i
0+0i,-57340.369616161+158057.250682966i,0+0i,0+0i,-8077866395.83139+5661696188.47826i,0+0i
0+0i,0+0i,-57340.369616161+158057.250682966i,0+0i,0+0i,-8077866395.83139+5661696188.47826i
