13922715474.6965+8533792850.01476i,0-0i,0-0i,455389.342990898+894367.331151565i,0-0i,0-0i
0-0i,13922715081.5142+8533792023.95353i,0-0i,0-0i,-226951.810316053-445474.740571453i,0-0i
0-0i,0-0i,13922715081.5142+8533792023.95353i,0-0i,0-0i,-226951.810316053-445474.740571453i
455389.342990902+894367.331151567i,0-0i,0-0i,13922715474.6965+8533792850.01476i,0-0i,0-0i
0-0i,-226951.810316055-445474.740571453i,0-0i,0-0i,13922715081.5142+8533792023.95353i,0-0i
0-0i,0-0i,-226951.810316055-445474.740571453i,0-0i,0-0i,13922715081.5142+8533792023.95353i
