591887953.321539+6664751973.04665i,0-0i,0-0i,-158402.284410613+28347.1269774707i,0-0i,0-0i
0-0i,591888092.16391+6664751951.17398i,0-0i,0-0i,78917.7265572636-14140.0916415214i,0-0i
0-0i,0-0i,591888092.16391+6664751951.17398i,0-0i,0-0i,78917.7265572636-14140.0916415214i
-158402.284410613+28347.1269774727i,0-0i,0-0i,591887953.321539+6664751973.04665i,0-0i,0-0i
0-0i,78917.7265572637-14140.0916415206i,0-0i,0-0i,591888092.16391+6664751951.17398i,0-0i
0-0i,0-0i,78917.7265572637-14140.0916415206i,0-0i,0-0i,591888092.16391+6664751951.17398i
