-6168540824.70432+5868693945.01403i,0+0i,0+0i,12637.9014931673-253169.521388336i,0+0i,0+0i
0+0i,-6168540839.46329+5868694161.36572i,0+0i,0+0i,-6271.55001089073+126149.966223823i,0+0i
0+0i,0+0i,-6168540839.46329+5868694161.36572i,0+0i,0+0i,-6271.55001089073+126149.966223823i
12637.9014931666-253169.521388335i,0+0i,0+0i,-6168540824.70432+5868693945.01403i,0+0i,0+0i
0+0i,-6271.5500108908+126149.966223823i,0+0i,0+0i,-6168540839.46329+5868694161.36572i,0+0i
0+0i,0+0i,-6271.5500108908+126149.966223823i,0+0i,0+0i,-6168540839.46329+5868694161.36572i
