2756590141.94314+6940887334.20465i,0-0i,0-0i,-147060.483413945+138665.909390763i,0-0i,0-0i
0-0i,2756590273.88712+6940887215.09776i,0-0i,0-0i,73252.9546165579-69101.1671327405i,0-0i
0-0i,0-0i,2756590273.88712+6940887215.09776i,0-0i,0-0i,73252.9546165579-69101.1671327405i
-147060.483413945+138665.909390764i,0-0i,0-0i,2756590141.94314+6940887334.20465i,0-0i,0-0i
0-0i,73252.9546165579-69101.1671327404i,0-0i,0-0i,2756590273.88712+6940887215.09776i,0-0i
0-0i,0-0i,73252.9546165579-69101.1671327404i,0-0i,0-0i,2756590273.88712+6940887215.09776i
