-208043857999.86+28724715243.3761i,0+0i,0+0i,233273524.099365-65634652.3839789i,0+0i,0+0i
0+0i,-208043868870.317+28724688397.048i,0+0i,0+0i,-115994444.559603+32686618.1468499i,0+0i
0+0i,0+0i,-208043868870.317+28724688397.048i,0+0i,0+0i,-115994444.559603+32686618.1468499i
233273524.099364-65634652.3839789i,0+0i,0+0i,-208043857999.86+28724715243.3761i,0+0i,0+0i
0+0i,-115994444.559603+32686618.1468499i,0+0i,0+0i,-208043868870.317+28724688397.048i,0+0i
0+0i,0+0i,-115994444.559603+32686618.1468499i,0+0i,0+0i,-208043868870.317+28724688397.048i
