-169222631825.443+16504251880.5029i,0+0i,0+0i,160976982.191266-31678277.0947613i,0+0i,0+0i
0+0i,-169222658329.669+16504245295.7954i,0+0i,0+0i,-80033435.0372625+15784458.5631076i,0+0i
0+0i,0+0i,-169222658329.669+16504245295.7954i,0+0i,0+0i,-80033435.0372625+15784458.5631076i
160976982.191266-31678277.0947613i,0+0i,0+0i,-169222631825.443+16504251880.5029i,0+0i,0+0i
0+0i,-80033435.0372625+15784458.5631076i,0+0i,0+0i,-169222658329.669+16504245295.7954i,0+0i
0+0i,0+0i,-80033435.0372625+15784458.5631076i,0+0i,0+0i,-169222658329.669+16504245295.7954i
