-23521929748.7386+4259093301.28979i,0+0i,0+0i,1718455.01420953-643296.100124259i,0+0i,0+0i
0+0i,-23521931155.1469+4259093807.34949i,0+0i,0+0i,-856450.775768072+320783.243417497i,0+0i
0+0i,0+0i,-23521931155.1469+4259093807.34949i,0+0i,0+0i,-856450.775768072+320783.243417497i
1718455.01420952-643296.100124258i,0+0i,0+0i,-23521929748.7386+4259093301.28979i,0+0i,0+0i
0+0i,-856450.775768071+320783.243417497i,0+0i,0+0i,-23521931155.1469+4259093807.34949i,0+0i
0+0i,0+0i,-856450.775768071+320783.243417497i,0+0i,0+0i,-23521931155.1469+4259093807.34949i
