20329919479.8515+9578110935.42828i,0-0i,0-0i,1232895.30373269+1493382.80724169i,0-0i,0-0i
0-0i,20329918374.1883+9578109511.50776i,0-0i,0-0i,-614293.611417474-743728.774856267i,0-0i
0-0i,0-0i,20329918374.1883+9578109511.50776i,0-0i,0-0i,-614293.611417474-743728.774856267i
1232895.30373269+1493382.80724169i,0-0i,0-0i,20329919479.8515+9578110935.42828i,0-0i,0-0i
0-0i,-614293.611417475-743728.774856267i,0-0i,0-0i,20329918374.1883+9578109511.50776i,0-0i
0-0i,0-0i,-614293.611417475-743728.774856267i,0-0i,0-0i,20329918374.1883+9578109511.50776i
