130601713749.712+43786402633.663i,0-0i,0-0i,67252836.1415703+50816271.8564338i,0-0i,0-0i
0-0i,130601633177.771+43786326255.439i,0-0i,0-0i,-33486784.7721305-25287311.9678902i,0-0i
0-0i,0-0i,130601633177.771+43786326255.439i,0-0i,0-0i,-33486784.7721305-25287311.9678902i
67252836.1415704+50816271.8564338i,0-0i,0-0i,130601713749.712+43786402633.663i,0-0i,0-0i
0-0i,-33486784.7721305-25287311.9678902i,0-0i,0-0i,130601633177.771+43786326255.439i,0-0i
0-0i,0-0i,-33486784.7721305-25287311.9678902i,0-0i,0-0i,130601633177.771+43786326255.439i
