-10550089057.9553+5405060118.89644i,0+0i,0+0i,281521.266981791-391064.963783303i,0+0i,0+0i
0+0i,-10550089301.1579+5405060445.10532i,0+0i,0+0i,-140246.594511446+194899.526041479i,0+0i
0+0i,0+0i,-10550089301.1579+5405060445.10532i,0+0i,0+0i,-140246.594511446+194899.526041479i
281521.266981791-391064.963783303i,0+0i,0+0i,-10550089057.9553+5405060118.89644i,0+0i,0+0i
0+0i,-140246.594511445+194899.526041478i,0+0i,0+0i,-10550089301.1579+5405060445.10532i,0+0i
0+0i,0+0i,-140246.594511445+194899.526041478i,0+0i,0+0i,-10550089301.1579+5405060445.10532i
