-143961848127.311+10549231898.333i,0+0i,0+0i,120785818.902334-17779358.1551048i,0+0i,0+0i
0+0i,-143961877805.498+10549230511.3985i,0+0i,0+0i,-60041712.5651952+8864971.33860327i,0+0i
0+0i,0+0i,-143961877805.498+10549230511.3985i,0+0i,0+0i,-60041712.5651952+8864971.33860327i
120785818.902334-17779358.1551048i,0+0i,0+0i,-143961848127.311+10549231898.3331i,0+0i,0+0i
0+0i,-60041712.5651952+8864971.33860328i,0+0i,0+0i,-143961877805.498+10549230511.3985i,0+0i
0+0i,0+0i,-60041712.5651952+8864971.33860328i,0+0i,0+0i,-143961877805.498+10549230511.3985i
