-405667697521.726+171815656559.063i,0+0i,0+0i,694321821.985973-716531751.075624i,0+0i,0+0i
0+0i,-405667690101.881+171814696280.642i,0+0i,0+0i,-345278951.079797+356580823.296988i,0+0i
0+0i,0+0i,-405667690101.881+171814696280.642i,0+0i,0+0i,-345278951.079797+356580823.296988i
694321821.985973-716531751.075624i,0+0i,0+0i,-405667697521.726+171815656559.063i,0+0i,0+0i
0+0i,-345278951.079797+356580823.296988i,0+0i,0+0i,-405667690101.881+171814696280.642i,0+0i
0+0i,0+0i,-345278951.079797+356580823.296988i,0+0i,0+0i,-405667690101.881+171814696280.642i
