69904179834.2543+21025110287.1414i,0-0i,0-0i,18711527.4337549+12377652.090186i,0-0i,0-0i
0-0i,69904160198.8091+21025095499.7i,0-0i,0-0i,-9318648.87348449-6160678.83846025i,0-0i
0-0i,0-0i,69904160198.8091+21025095499.7i,0-0i,0-0i,-9318648.87348449-6160678.83846025i
18711527.4337549+12377652.090186i,0-0i,0-0i,69904179834.2543+21025110287.1414i,0-0i,0-0i
0-0i,-9318648.8734845-6160678.83846025i,0-0i,0-0i,69904160198.8091+21025095499.7i,0-0i
0-0i,0-0i,-9318648.8734845-6160678.83846025i,0-0i,0-0i,69904160198.8091+21025095499.7i
