36220286317.2824+12589392106.3303i,0-0i,0-0i,4595214.00359329+3633956.74656364i,0-0i,0-0i
0-0i,36220281949.3267+12589388368.5832i,0-0i,0-0i,-2289041.6863067-1809285.61956999i,0-0i
0-0i,0-0i,36220281949.3267+12589388368.5832i,0-0i,0-0i,-2289041.6863067-1809285.61956999i
4595214.0035933+3633956.74656364i,0-0i,0-0i,36220286317.2824+12589392106.3303i,0-0i,0-0i
0-0i,-2289041.6863067-1809285.61956999i,0-0i,0-0i,36220281949.3267+12589388368.5832i,0-0i
0-0i,0-0i,-2289041.6863067-1809285.61956999i,0-0i,0-0i,36220281949.3267+12589388368.5832i
