271790845749.764+146924803203.089i,0-0i,0-0i,244702901.642463+373880777.107111i,0-0i,0-0i
0-0i,271790591672.802+146923992359.727i,0-0i,0-0i,-121846821.468468-186040670.405543i,0-0i
0-0i,0-0i,271790591672.802+146923992359.727i,0-0i,0-0i,-121846821.468468-186040670.405543i
244702901.642463+373880777.107111i,0-0i,0-0i,271790845749.764+146924803203.089i,0-0i,0-0i
0-0i,-121846821.468468-186040670.405543i,0-0i,0-0i,271790591672.802+146923992359.727i,0-0i
0-0i,0-0i,-121846821.468468-186040670.405543i,0-0i,0-0i,271790591672.802+146923992359.727i
