-16975999678.6064+4796434743.02334i,0+0i,0+0i,881556.47274753-541295.105141859i,0+0i,0+0i
0+0i,-16976000415.9675+4796435181.04269i,0+0i,0+0i,-439283.497522755+269843.706768413i,0+0i
0+0i,0+0i,-16976000415.9675+4796435181.04269i,0+0i,0+0i,-439283.497522755+269843.706768413i
881556.472747539-541295.105141862i,0+0i,0+0i,-16975999678.6064+4796434743.02334i,0+0i,0+0i
0+0i,-439283.497522756+269843.706768413i,0+0i,0+0i,-16976000415.9675+4796435181.04269i,0+0i
0+0i,0+0i,-439283.497522756+269843.706768413i,0+0i,0+0i,-16976000415.9675+4796435181.04269i
