7309530131.2325+7556010424.39989i,0-0i,0-0i,-13526.3264513144+406883.771462594i,0-0i,0-0i
0-0i,7309530151.891+7556010061.74814i,0-0i,0-0i,6694.09886012629-202705.287106931i,0-0i
0-0i,0-0i,7309530151.891+7556010061.74814i,0-0i,0-0i,6694.09886012629-202705.287106931i
-13526.3264513145+406883.771462592i,0-0i,0-0i,7309530131.2325+7556010424.39989i,0-0i,0-0i
0-0i,6694.09886012404-202705.287106932i,0-0i,0-0i,7309530151.89099+7556010061.74814i,0-0i
0-0i,0-0i,6694.09886012404-202705.287106932i,0-0i,0-0i,7309530151.89099+7556010061.74814i
