-7446904183.33086+5729246934.62891i,0+0i,0+0i,78719.1990838971-296716.143084142i,0+0i,0+0i
0+0i,-7446904254.90015+5729247186.26257i,0+0i,0+0i,-39194.9636450202+147857.712223427i,0+0i
0+0i,0+0i,-7446904254.90015+5729247186.26257i,0+0i,0+0i,-39194.9636450202+147857.712223427i
78719.1990838948-296716.143084141i,0+0i,0+0i,-7446904183.33086+5729246934.62891i,0+0i,0+0i
0+0i,-39194.9636450207+147857.712223427i,0+0i,0+0i,-7446904254.90015+5729247186.26257i,0+0i
0+0i,0+0i,-39194.9636450207+147857.712223427i,0+0i,0+0i,-7446904254.90015+5729247186.26257i
