-67875450053.873+891695602454.704i,0+0i,0+0i,-3893989730.80141-596734465.380517i,0+0i,0+0i
0+0i,-67875006873.7958+891708842864.64i,0+0i,0+0i,1937698435.42817+296258896.039139i,0+0i
0+0i,0+0i,-67875006873.7958+891708842864.64i,0+0i,0+0i,1937698435.42817+296258896.039139i
-3893989730.80141-596734465.380517i,0+0i,0+0i,-67875450053.873+891695602454.704i,0+0i,0+0i
0+0i,1937698435.42817+296258896.039139i,0+0i,0+0i,-67875006873.7958+891708842864.64i,0+0i
0+0i,0+0i,1937698435.42817+296258896.039139i,0+0i,0+0i,-67875006873.7958+891708842864.64i
