-2191229464.56908+6324970671.82387i,0+0i,0+0i,-125148.240959348-98553.9463624655i,0+0i,0+0i
0+0i,-2191229357.90345+6324970759.28656i,0+0i,0+0i,62365.2013039197+49091.4061123404i,0+0i
0+0i,0+0i,-2191229357.90345+6324970759.28656i,0+0i,0+0i,62365.2013039197+49091.4061123404i
-125148.240959347-98553.9463624671i,0+0i,0+0i,-2191229464.56908+6324970671.82387i,0+0i,0+0i
0+0i,62365.2013039196+49091.4061123411i,0+0i,0+0i,-2191229357.90345+6324970759.28657i,0+0i
0+0i,0+0i,62365.2013039196+49091.4061123411i,0+0i,0+0i,-2191229357.90345+6324970759.28657i
