-403588728428.382+724847297226.743i,0+0i,0+0i,-1803396426.6003-2911390464.65682i,0+0i,0+0i
0+0i,-403597780658.962+724850330682.769i,0+0i,0+0i,897789700.94667+1448285656.86697i,0+0i
0+0i,0+0i,-403597780658.962+724850330682.769i,0+0i,0+0i,897789700.94667+1448285656.86697i
-1803396426.6003-2911390464.65682i,0+0i,0+0i,-403588728428.382+724847297226.743i,0+0i,0+0i
0+0i,897789700.94667+1448285656.86697i,0+0i,0+0i,-403597780658.962+724850330682.769i,0+0i
0+0i,0+0i,897789700.94667+1448285656.86697i,0+0i,0+0i,-403597780658.962+724850330682.769i
