-1505927514.58456+6407056890.88863i,0+0i,0+0i,-138253.161421021-68802.9654187461i,0+0i,0+0i
0+0i,-1505927395.83029+6407056952.98071i,0+0i,0+0i,68890.9918517429+34266.2634562845i,0+0i
0+0i,0+0i,-1505927395.83029+6407056952.98071i,0+0i,0+0i,68890.9918517429+34266.2634562845i
-138253.161421021-68802.9654187472i,0+0i,0+0i,-1505927514.58456+6407056890.88863i,0+0i,0+0i
0+0i,68890.9918517428+34266.2634562849i,0+0i,0+0i,-1505927395.83029+6407056952.98071i,0+0i
0+0i,0+0i,68890.9918517428+34266.2634562849i,0+0i,0+0i,-1505927395.83029+6407056952.98071i
