14799456361.1175+8671018077.0282i,0-0i,0-0i,542721.460608745+968564.310883387i,0-0i,0-0i
0-0i,14799455889.1912+8671017178.46133i,0-0i,0-0i,-270462.169024056-482420.832306739i,0-0i
0-0i,0-0i,14799455889.1912+8671017178.46133i,0-0i,0-0i,-270462.169024056-482420.832306739i
542721.460608745+968564.310883387i,0-0i,0-0i,14799456361.1175+8671018077.0282i,0-0i,0-0i
0-0i,-270462.169024055-482420.832306738i,0-0i,0-0i,14799455889.1912+8671017178.46133i,0-0i
0-0i,0-0i,-270462.169024055-482420.832306738i,0-0i,0-0i,14799455889.1912+8671017178.46133i
