231594485672.378+108232515231.835i,0-0i,0-0i,194193238.843993+232274195.011446i,0-0i,0-0i
0-0i,231594247214.942+108232051722.173i,0-0i,0-0i,-96689957.9907526-115577569.149397i,0-0i
0-0i,0-0i,231594247214.942+108232051722.173i,0-0i,0-0i,-96689957.9907526-115577569.149397i
194193238.843993+232274195.011446i,0-0i,0-0i,231594485672.379+108232515231.835i,0-0i,0-0i
0-0i,-96689957.9907527-115577569.149397i,0-0i,0-0i,231594247214.942+108232051722.173i,0-0i
0-0i,0-0i,-96689957.9907527-115577569.149397i,0-0i,0-0i,231594247214.942+108232051722.173i
