-4207714689.78032+6089370090.42822i,0+0i,0+0i,-68303.378635695-180686.831250295i,0+0i,0+0i
0+0i,-4207714633.9573+6089370247.01313i,0+0i,0+0i,34051.5856734958+90022.6054324979i,0+0i
0+0i,0+0i,-4207714633.9573+6089370247.01313i,0+0i,0+0i,34051.5856734958+90022.6054324979i
-68303.3786356937-180686.831250296i,0+0i,0+0i,-4207714689.78032+6089370090.42822i,0+0i,0+0i
0+0i,34051.5856734953+90022.6054324993i,0+0i,0+0i,-4207714633.9573+6089370247.01313i,0+0i
0+0i,0+0i,34051.5856734953+90022.6054324993i,0+0i,0+0i,-4207714633.9573+6089370247.01313i
