-19573827499.3982+4573518766.06186i,0+0i,0+0i,1188134.74657338-587198.587091566i,0+0i,0+0i
0+0i,-19573828484.0536+4573519235.80513i,0+0i,0+0i,-592093.007281365+292759.555048519i,0+0i
0+0i,0+0i,-19573828484.0536+4573519235.80513i,0+0i,0+0i,-592093.007281365+292759.555048519i
1188134.74657339-587198.587091567i,0+0i,0+0i,-19573827499.3982+4573518766.06186i,0+0i,0+0i
0+0i,-592093.007281366+292759.55504852i,0+0i,0+0i,-19573828484.0536+4573519235.80513i,0+0i
0+0i,0+0i,-592093.007281366+292759.55504852i,0+0i,0+0i,-19573828484.0536+4573519235.80513i
