-274951049796.859+59608369676.8358i,0+0i,0+0i,383009228.077527-174201331.725458i,0+0i,0+0i
0+0i,-274951004485.606+59608238872.395i,0+0i,0+0i,-190471712.954179+86718280.2200735i,0+0i
0+0i,0+0i,-274951004485.606+59608238872.395i,0+0i,0+0i,-190471712.954179+86718280.2200735i
383009228.077527-174201331.725458i,0+0i,0+0i,-274951049796.859+59608369676.8357i,0+0i,0+0i
0+0i,-190471712.954179+86718280.2200735i,0+0i,0+0i,-274951004485.606+59608238872.395i,0+0i
0+0i,0+0i,-190471712.954179+86718280.2200735i,0+0i,0+0i,-274951004485.606+59608238872.395i
