1305758363.77509+6754662510.00445i,0-0i,0-0i,-158304.727019566+63567.401103815i,0-0i,0-0i
0-0i,1305758503.50017+6754662457.2962i,0-0i,0-0i,78864.61365645-31687.6285783473i,0-0i
0-0i,0-0i,1305758503.50017+6754662457.2962i,0-0i,0-0i,78864.61365645-31687.6285783473i
-158304.727019566+63567.4011038143i,0-0i,0-0i,1305758363.77509+6754662510.00445i,0-0i,0-0i
0-0i,78864.6136564502-31687.6285783459i,0-0i,0-0i,1305758503.50017+6754662457.2962i,0-0i
0-0i,0-0i,78864.6136564502-31687.6285783459i,0-0i,0-0i,1305758503.50017+6754662457.2962i
