-308843994227.114+80846140602.6581i,0+0i,0+0i,467128539.845298-262474187.240198i,0+0i,0+0i
0+0i,-308843915252.272+80845899716.2728i,0+0i,0+0i,-232309256.106867+130646171.07519i,0+0i
0+0i,0+0i,-308843915252.272+80845899716.2728i,0+0i,0+0i,-232309256.106867+130646171.07519i
467128539.845298-262474187.240198i,0+0i,0+0i,-308843994227.114+80846140602.6581i,0+0i,0+0i
0+0i,-232309256.106867+130646171.07519i,0+0i,0+0i,-308843915252.272+80845899716.2728i,0+0i
0+0i,0+0i,-232309256.106867+130646171.07519i,0+0i,0+0i,-308843915252.272+80845899716.2728i
