-226060920280.938+35747546373.5951i,0+0i,0+0i,270784204.953366-87796585.1261203i,0+0i,0+0i
0+0i,-226060919251.346+35747502290.3291i,0+0i,0+0i,-134652353.045504+43716934.7675392i,0+0i
0+0i,0+0i,-226060919251.346+35747502290.3291i,0+0i,0+0i,-134652353.045504+43716934.7675392i
270784204.953366-87796585.1261203i,0+0i,0+0i,-226060920280.938+35747546373.5952i,0+0i,0+0i
0+0i,-134652353.045504+43716934.7675392i,0+0i,0+0i,-226060919251.346+35747502290.3291i,0+0i
0+0i,0+0i,-134652353.045504+43716934.7675392i,0+0i,0+0i,-226060919251.346+35747502290.3291i
