-466544543542.245+275356561596.995i,0+0i,0+0i,721146310.760899-1305890978.07521i,0+0i,0+0i
0+0i,-466545261015.149+275354611720.5i,0+0i,0+0i,-358543006.671941+649811256.738226i,0+0i
0+0i,0+0i,-466545261015.149+275354611720.5i,0+0i,0+0i,-358543006.671941+649811256.738226i
721146310.760899-1305890978.07521i,0+0i,0+0i,-466544543542.245+275356561596.995i,0+0i,0+0i
0+0i,-358543006.671941+649811256.738226i,0+0i,0+0i,-466545261015.149+275354611720.5i,0+0i
0+0i,0+0i,-358543006.671941+649811256.738226i,0+0i,0+0i,-466545261015.149+275354611720.5i
