149295650734.424+52952060519.2442i,0-0i,0-0i,87476502.6369765+70995702.3395938i,0-0i,0-0i
0-0i,149295543029.613+52951947100.3988i,0-0i,0-0i,-43555480.3154906-35328134.4155198i,0-0i
0-0i,0-0i,149295543029.613+52951947100.3988i,0-0i,0-0i,-43555480.3154906-35328134.4155198i
87476502.6369766+70995702.3395938i,0-0i,0-0i,149295650734.424+52952060519.2442i,0-0i,0-0i
0-0i,-43555480.3154906-35328134.4155198i,0-0i,0-0i,149295543029.613+52951947100.3988i,0-0i
0-0i,0-0i,-43555480.3154906-35328134.4155198i,0-0i,0-0i,149295543029.613+52951947100.3988i
