-4867295127.80784+6014217482.60466i,0+0i,0+0i,-43868.2012452867-205858.516635876i,0+0i,0+0i
0+0i,-4867295093.4458+6014217660.08441i,0+0i,0+0i,21879.137482333+102568.236756965i,0+0i
0+0i,0+0i,-4867295093.4458+6014217660.08441i,0+0i,0+0i,21879.137482333+102568.236756965i
-43868.2012452868-205858.516635876i,0+0i,0+0i,-4867295127.80784+6014217482.60466i,0+0i,0+0i
0+0i,21879.1374823328+102568.236756965i,0+0i,0+0i,-4867295093.4458+6014217660.08441i,0+0i
0+0i,0+0i,21879.1374823328+102568.236756965i,0+0i,0+0i,-4867295093.4458+6014217660.08441i
