-351822313227.83+114613263860.161i,0+0i,0+0i,575262317.343014-419196343.981259i,0+0i,0+0i
0+0i,-351822211563.546+114612795013.439i,0+0i,0+0i,-286085501.026157+208632731.907521i,0+0i
0+0i,0+0i,-351822211563.546+114612795013.439i,0+0i,0+0i,-286085501.026157+208632731.907521i
575262317.343013-419196343.981259i,0+0i,0+0i,-351822313227.83+114613263860.161i,0+0i,0+0i
0+0i,-286085501.026157+208632731.907521i,0+0i,0+0i,-351822211563.546+114612795013.439i,0+0i
0+0i,0+0i,-286085501.026157+208632731.907521i,0+0i,0+0i,-351822211563.546+114612795013.439i
