47798669192.8551+15169653320.726i,0-0i,0-0i,8369721.36282959+5908602.80145534i,0-0i,0-0i
0-0i,47798660943.8374+15169646911.2779i,0-0i,0-0i,-4168829.63973742-2941388.63702361i,0-0i
0-0i,0-0i,47798660943.8374+15169646911.2779i,0-0i,0-0i,-4168829.63973742-2941388.63702361i
8369721.36282959+5908602.80145534i,0-0i,0-0i,47798669192.8551+15169653320.726i,0-0i,0-0i
0-0i,-4168829.63973742-2941388.63702361i,0-0i,0-0i,47798660943.8374+15169646911.2779i,0-0i
0-0i,0-0i,-4168829.63973742-2941388.63702361i,0-0i,0-0i,47798660943.8374+15169646911.2779i
