16589993725.4777+8956841368.61483i,0-0i,0-0i,739727.647794477+1127546.25476383i,0-0i,0-0i
0-0i,16589993074.5773+8956840313.14001i,0-0i,0-0i,-368610.943500045-561582.215308328i,0-0i
0-0i,0-0i,16589993074.5773+8956840313.14001i,0-0i,0-0i,-368610.943500045-561582.215308328i
739727.647794478+1127546.25476383i,0-0i,0-0i,16589993725.4777+8956841368.61483i,0-0i,0-0i
0-0i,-368610.943500046-561582.215308328i,0-0i,0-0i,16589993074.5773+8956840313.14001i,0-0i
0-0i,0-0i,-368610.943500046-561582.215308328i,0-0i,0-0i,16589993074.5773+8956840313.14001i
