-2869847096.01673+6244696123.42585i,0+0i,0+0i,-109047.990935746-127083.522053922i,0+0i,0+0i
0+0i,-2869847003.94083+6244696235.05591i,0+0i,0+0i,54346.6987639558+63308.5619744882i,0+0i
0+0i,0+0i,-2869847003.94083+6244696235.05591i,0+0i,0+0i,54346.6987639558+63308.5619744882i
-109047.990935747-127083.52205392i,0+0i,0+0i,-2869847096.01673+6244696123.42585i,0+0i,0+0i
0+0i,54346.698763956+63308.5619744872i,0+0i,0+0i,-2869847003.94083+6244696235.05591i,0+0i
0+0i,0+0i,54346.698763956+63308.5619744872i,0+0i,0+0i,-2869847003.94083+6244696235.05591i
