-500508266325.424+468034947953.148i,0+0i,0+0i,158365574.219418-2354516053.08869i,0+0i,0+0i
0+0i,-500512271153.303+468032265557.291i,0+0i,0+0i,-78387996.4476646+1171474540.99766i,0+0i
0+0i,0+0i,-500512271153.303+468032265557.291i,0+0i,0+0i,-78387996.4476646+1171474540.99766i
158365574.219418-2354516053.08869i,0+0i,0+0i,-500508266325.424+468034947953.148i,0+0i,0+0i
0+0i,-78387996.4476644+1171474540.99766i,0+0i,0+0i,-500512271153.303+468032265557.291i,0+0i
0+0i,0+0i,-78387996.4476644+1171474540.99766i,0+0i,0+0i,-500512271153.303+468032265557.291i
