-13533624090.513+5112143286.05271i,0+0i,0+0i,530971.269530395-467835.331339434i,0+0i,0+0i
0+0i,-13533624541.1183+5112143670.67195i,0+0i,0+0i,-264556.057844194+233189.440767925i,0+0i
0+0i,0+0i,-13533624541.1183+5112143670.67195i,0+0i,0+0i,-264556.057844194+233189.440767925i
530971.269530393-467835.331339433i,0+0i,0+0i,-13533624090.513+5112143286.05271i,0+0i,0+0i
0+0i,-264556.057844194+233189.440767926i,0+0i,0+0i,-13533624541.1183+5112143670.67195i,0+0i
0+0i,0+0i,-264556.057844194+233189.440767926i,0+0i,0+0i,-13533624541.1183+5112143670.67195i
