9710641818.80532+7899384084.15722i,0-0i,0-0i,118402.389646107+569708.762860317i,0-0i,0-0i
0-0i,9710641725.05183+7899383569.41644i,0-0i,0-0i,-59047.7847170316-283799.470538127i,0-0i
0-0i,0-0i,9710641725.05183+7899383569.41644i,0-0i,0-0i,-59047.7847170316-283799.470538127i
118402.389646107+569708.762860318i,0-0i,0-0i,9710641818.80532+7899384084.15722i,0-0i,0-0i
0-0i,-59047.7847170319-283799.470538127i,0-0i,0-0i,9710641725.05183+7899383569.41644i,0-0i
0-0i,0-0i,-59047.7847170319-283799.470538127i,0-0i,0-0i,9710641725.05183+7899383569.41644i
