3493970978.67091+7037339254.15511i,0-0i,0-0i,-135615.137014297+178690.942651071i,0-0i,0-0i
0-0i,3493971101.65032+7037339099.31709i,0-0i,0-0i,67545.6998596286-89040.2174237254i,0-0i
0-0i,0-0i,3493971101.65032+7037339099.31709i,0-0i,0-0i,67545.6998596286-89040.2174237254i
-135615.137014296+178690.942651074i,0-0i,0-0i,3493970978.67091+7037339254.1551i,0-0i,0-0i
0-0i,67545.6998596286-89040.2174237264i,0-0i,0-0i,3493971101.65032+7037339099.31709i,0-0i
0-0i,0-0i,67545.6998596286-89040.2174237264i,0-0i,0-0i,3493971101.65032+7037339099.31709i
