26388378922.3169+10654790089.4962i,0-0i,0-0i,2270279.60594095+2190787.26594433i,0-0i,0-0i
0-0i,26388376836.1073+10654787938.5125i,0-0i,0-0i,-1131046.36652056-1090921.81624567i,0-0i
0-0i,0-0i,26388376836.1073+10654787938.5125i,0-0i,0-0i,-1131046.36652056-1090921.81624567i
2270279.60594096+2190787.26594433i,0-0i,0-0i,26388378922.3169+10654790089.4962i,0-0i,0-0i
0-0i,-1131046.36652056-1090921.81624567i,0-0i,0-0i,26388376836.1073+10654787938.5125i,0-0i
0-0i,0-0i,-1131046.36652056-1090921.81624567i,0-0i,0-0i,26388376836.1073+10654787938.5125i
