23286970839.7187+10092717211.396i,0-0i,0-0i,1702059.23582819+1816883.76084092i,0-0i,0-0i
0-0i,23286969294.148+10092715453.9506i,0-0i,0-0i,-848004.492415744-904784.450382782i,0-0i
0-0i,0-0i,23286969294.148+10092715453.9506i,0-0i,0-0i,-848004.492415744-904784.450382782i
1702059.23582819+1816883.76084092i,0-0i,0-0i,23286970839.7187+10092717211.396i,0-0i,0-0i
0-0i,-848004.492415745-904784.450382781i,0-0i,0-0i,23286969294.148+10092715453.9506i,0-0i
0-0i,0-0i,-848004.492415745-904784.450382781i,0-0i,0-0i,23286969294.148+10092715453.9506i
