10531242044.4281+8019766565.35981i,0-0i,0-0i,173429.544847651+628961.432321726i,0-0i,0-0i
0-0i,10531241902.3671+8019765994.56672i,0-0i,0-0i,-86466.7312177394-313308.197326201i,0-0i
0-0i,0-0i,10531241902.3671+8019765994.56672i,0-0i,0-0i,-86466.7312177394-313308.197326201i
173429.544847648+628961.432321724i,0-0i,0-0i,10531242044.4281+8019766565.35981i,0-0i,0-0i
0-0i,-86466.7312177377-313308.197326199i,0-0i,0-0i,10531241902.3671+8019765994.56672i,0-0i
0-0i,0-0i,-86466.7312177377-313308.197326199i,0-0i,0-0i,10531241902.3671+8019765994.56672i
