2027256926.43908+6846685147.55114i,0-0i,0-0i,-154572.773321559+100316.497601693i,0-0i,0-0i
0-0i,2027257063.91356+6846685062.45869i,0-0i,0-0i,77000.5785074498-49996.128522077i,0-0i
0-0i,0-0i,2027257063.91356+6846685062.45869i,0-0i,0-0i,77000.5785074498-49996.128522077i
-154572.773321559+100316.497601694i,0-0i,0-0i,2027256926.43908+6846685147.55114i,0-0i,0-0i
0-0i,77000.5785074502-49996.1285220757i,0-0i,0-0i,2027257063.91356+6846685062.45869i,0-0i
0-0i,0-0i,77000.5785074502-49996.1285220757i,0-0i,0-0i,2027257063.91356+6846685062.45869i
