4239619134.09292+7136113961.81771i,0-0i,0-0i,-120076.879631869+220470.949363456i,0-0i,0-0i
0-0i,4239619244.51147+7136113769.44024i,0-0i,0-0i,59799.2203424733-109852.765462816i,0-0i
0-0i,0-0i,4239619244.51147+7136113769.44024i,0-0i,0-0i,59799.2203424733-109852.765462816i
-120076.879631869+220470.949363458i,0-0i,0-0i,4239619134.09292+7136113961.8177i,0-0i,0-0i
0-0i,59799.2203424726-109852.765462818i,0-0i,0-0i,4239619244.51147+7136113769.44024i,0-0i
0-0i,0-0i,59799.2203424726-109852.765462818i,0-0i,0-0i,4239619244.51147+7136113769.44024i
