276578473841.076+742132050821.642i,0-0i,0-0i,-2312941938.30481+2001634003.70769i,0-0i,0-0i
0-0i,276588289432.116+742134573369.651i,0-0i,0-0i,1150587382.05276-996425574.315493i,0-0i
0-0i,0-0i,276588289432.116+742134573369.651i,0-0i,0-0i,1150587382.05276-996425574.315493i
-2312941938.30481+2001634003.70769i,0-0i,0-0i,276578473841.076+742132050821.642i,0-0i,0-0i
0-0i,1150587382.05276-996425574.315493i,0-0i,0-0i,276588289432.116+742134573369.651i,0-0i
0-0i,0-0i,1150587382.05276-996425574.315493i,0-0i,0-0i,276588289432.116+742134573369.651i
