-14696808788.0263+5002831075.12848i,0+0i,0+0i,642103.790164088-494374.905142761i,0+0i,0+0i
0+0i,-14696809330.0557+5002831479.36006i,0+0i,0+0i,-319941.028189836+246429.814814365i,0+0i
0+0i,0+0i,-14696809330.0557+5002831479.36006i,0+0i,0+0i,-319941.028189836+246429.814814365i
642103.790164087-494374.905142762i,0+0i,0+0i,-14696808788.0263+5002831075.12848i,0+0i,0+0i
0+0i,-319941.028189836+246429.814814365i,0+0i,0+0i,-14696809330.0557+5002831479.36006i,0+0i
0+0i,0+0i,-319941.028189836+246429.814814365i,0+0i,0+0i,-14696809330.0557+5002831479.36006i
