6528471270.8879+7447151456.63571i,0-0i,0-0i,-47191.054836045+357200.360462767i,0-0i,0-0i
0-0i,6528471320.29288+7447151139.78889i,0-0i,0-0i,23471.2209661269-177959.111196874i,0-0i
0-0i,0-0i,6528471320.29288+7447151139.78889i,0-0i,0-0i,23471.2209661269-177959.111196874i
-47191.0548360432+357200.360462768i,0-0i,0-0i,6528471270.8879+7447151456.63571i,0-0i,0-0i
0-0i,23471.2209661267-177959.111196874i,0-0i,0-0i,6528471320.29288+7447151139.78889i,0-0i
0-0i,0-0i,23471.2209661267-177959.111196874i,0-0i,0-0i,6528471320.29288+7447151139.78889i
