-813763560.097709+6491010328.52645i,0+0i,0+0i,-148246.054501976-37775.1513970462i,0+0i,0+0i
0+0i,-813763431.870072+6491010363.98312i,0+0i,0+0i,73865.9623493355+18805.5518530244i,0+0i
0+0i,0+0i,-813763431.870072+6491010363.98312i,0+0i,0+0i,73865.9623493355+18805.5518530244i
-148246.054501976-37775.1513970463i,0+0i,0+0i,-813763560.097709+6491010328.52645i,0+0i,0+0i
0+0i,73865.9623493354+18805.5518530252i,0+0i,0+0i,-813763431.870072+6491010363.98312i,0+0i
0+0i,0+0i,73865.9623493354+18805.5518530252i,0+0i,0+0i,-813763431.870072+6491010363.98312i
