4993761308.75446+7237287524.18256i,0-0i,0-0i,-100278.347772308+264089.575922982i,0-0i,0-0i
0-0i,4993761402.84509+7237287292.36021i,0-0i,0-0i,49930.1838241596-131580.43407034i,0-0i
0-0i,0-0i,4993761402.84509+7237287292.36021i,0-0i,0-0i,49930.1838241596-131580.43407034i
-100278.347772308+264089.575922982i,0-0i,0-0i,4993761308.75446+7237287524.18256i,0-0i,0-0i
0-0i,49930.1838241587-131580.434070341i,0-0i,0-0i,4993761402.84509+7237287292.36021i,0-0i
0-0i,0-0i,49930.1838241587-131580.434070341i,0-0i,0-0i,4993761402.84509+7237287292.36021i
