22285904395.1553+9916182793.99654i,0-0i,0-0i,1535334.36034154+1703853.43632292i,0-0i,0-0i
0-0i,22285903006.6379+9916181153.8543i,0-0i,0-0i,-764952.89382309-848513.195214506i,0-0i
0-0i,0-0i,22285903006.6379+9916181153.8543i,0-0i,0-0i,-764952.89382309-848513.195214506i
1535334.36034154+1703853.43632292i,0-0i,0-0i,22285904395.1553+9916182793.99654i,0-0i,0-0i
0-0i,-764952.893823092-848513.195214506i,0-0i,0-0i,22285903006.6379+9916181153.8543i,0-0i
0-0i,0-0i,-764952.893823092-848513.195214506i,0-0i,0-0i,22285903006.6379+9916181153.8543i
