54429324986.0955+16796670787.7753i,0-0i,0-0i,11040290.5330356+7532583.7790729i,0-0i,0-0i
0-0i,54429313889.5173+16796662370.6169i,0-0i,0-0i,-5498737.49805834-3749592.81901388i,0-0i
0-0i,0-0i,54429313889.5173+16796662370.6169i,0-0i,0-0i,-5498737.49805834-3749592.81901388i
11040290.5330356+7532583.7790729i,0-0i,0-0i,54429324986.0955+16796670787.7753i,0-0i,0-0i
0-0i,-5498737.49805834-3749592.81901388i,0-0i,0-0i,54429313889.5173+16796662370.6169i,0-0i
0-0i,0-0i,-5498737.49805834-3749592.81901388i,0-0i,0-0i,54429313889.5173+16796662370.6169i
