-114554587.256542+6576888696.57794i,0+0i,0+0i,-155004.939179918-5412.22205775608i,0+0i,0+0i
0+0i,-114554452.290839+6576888704.06929i,0+0i,0+0i,77229.3744230688+2680.26887304706i,0+0i
0+0i,0+0i,-114554452.290839+6576888704.06929i,0+0i,0+0i,77229.3744230688+2680.26887304706i
-155004.939179918-5412.22205775846i,0+0i,0+0i,-114554587.256542+6576888696.57794i,0+0i,0+0i
0+0i,77229.3744230688+2680.26887304827i,0+0i,0+0i,-114554452.290839+6576888704.06929i,0+0i
0+0i,0+0i,77229.3744230688+2680.26887304827i,0+0i,0+0i,-114554452.290839+6576888704.06929i
