5756631493.51181+7340939171.46577i,0-0i,0-0i,-76044.2717825932+309635.029064895i,0-0i,0-0i
0-0i,5756631567.32769+7340938898.19007i,0-0i,0-0i,37851.3220098126-154267.11513114i,0-0i
0-0i,0-0i,5756631567.32769+7340938898.19007i,0-0i,0-0i,37851.3220098126-154267.11513114i
-76044.2717825941+309635.029064894i,0-0i,0-0i,5756631493.51181+7340939171.46577i,0-0i,0-0i
0-0i,37851.3220098133-154267.115131139i,0-0i,0-0i,5756631567.32769+7340938898.19007i,0-0i
0-0i,0-0i,37851.3220098133-154267.115131139i,0-0i,0-0i,5756631567.32769+7340938898.19007i
