386486268051.705+489438011304.318i,0-0i,0-0i,-435492387.481483+1826198133.97618i,0-0i,0-0i
0-0i,386490506732.569+489434629339.253i,0-0i,0-0i,216403475.136902-908837660.392756i,0-0i
0-0i,0-0i,386490506732.569+489434629339.253i,0-0i,0-0i,216403475.136902-908837660.392756i
-435492387.481483+1826198133.97618i,0-0i,0-0i,386486268051.706+489438011304.317i,0-0i,0-0i
0-0i,216403475.136902-908837660.392756i,0-0i,0-0i,386490506732.569+489434629339.253i,0-0i
0-0i,0-0i,216403475.136902-908837660.392756i,0-0i,0-0i,386490506732.569+489434629339.253i
